,source_origin,source,source_attr,source_color,source_count,target_origin,target,target_attr,target_color,target_count,edge_weight
120,"('断線', '原因')",断線,原因,red,30,"('電気装置（フロントドアガラスヒーター配線）', '不具合の部位')",電気装置（フロントドアガラスヒーター配線）,不具合の部位,gray,20,2
121,"('断線', '原因')",断線,原因,red,30,"('配線', '原因')",配線,原因,red,20,2
122,"('断線', '原因')",断線,原因,red,30,"('ドア開閉時', '原因')",ドア開閉時,原因,red,20,2
123,"('断線', '原因')",断線,原因,red,30,"('フロントドアガラスヒーター', '原因')",フロントドアガラスヒーター,原因,red,20,2
124,"('断線', '原因')",断線,原因,red,30,"('アーム部', '原因')",アーム部,原因,red,20,2
125,"('断線', '原因')",断線,原因,red,30,"('上側水平バー', '原因')",上側水平バー,原因,red,20,2
126,"('断線', '原因')",断線,原因,red,30,"('固定方法', '原因')",固定方法,原因,red,20,2
127,"('断線', '原因')",断線,原因,red,30,"('オプション設定', '原因')",オプション設定,原因,red,30,2
128,"('断線', '原因')",断線,原因,red,30,"('フロントドアガラスヒーター配線', '対策')",フロントドアガラスヒーター配線,対策,blue,20,2
129,"('断線', '原因')",断線,原因,red,30,"('固定方法', '対策')",固定方法,対策,blue,20,2
130,"('断線', '原因')",断線,原因,red,30,"('不具合発生部', '対策')",不具合発生部,対策,blue,20,2
131,"('断線', '原因')",断線,原因,red,30,"('断線', '対策')",断線,対策,blue,20,2
132,"('断線', '原因')",断線,原因,red,30,"('点検', '対策')",点検,対策,blue,30,2
133,"('断線', '原因')",断線,原因,red,30,"('恒久対策', '対策')",恒久対策,対策,blue,20,1
134,"('断線', '原因')",断線,原因,red,30,"('決定次第', '対策')",決定次第,対策,blue,20,1
135,"('対象', '対策')",対象,対策,blue,20,"('動力伝達装置(ドライブシャフト)', '不具合の部位')",動力伝達装置(ドライブシャフト),不具合の部位,gray,10,1
136,"('対象', '対策')",対象,対策,blue,20,"('強度', '原因')",強度,原因,red,20,1
137,"('対象', '対策')",対象,対策,blue,20,"('損傷', '対策')",損傷,対策,blue,20,1
138,"('原動機（エンジン制御用コントロールユニット(エンジンECU)）', '不具合の部位')",原動機（エンジン制御用コントロールユニット(エンジンECU)）,不具合の部位,gray,10,"('こと', '原因')",こと,原因,red,20,1
139,"('こと', '原因')",こと,原因,red,20,"('電気装置（フロントドアガラスヒーター回路）', '不具合の部位')",電気装置（フロントドアガラスヒーター回路）,不具合の部位,gray,10,1
140,"('こと', '原因')",こと,原因,red,20,"('オプション設定', '原因')",オプション設定,原因,red,30,1
141,"('車体(後部突入防止装置）', '不具合の部位')",車体(後部突入防止装置）,不具合の部位,gray,10,"('強度', '原因')",強度,原因,red,20,1
